Time,Temperature (°C),Humidity (%)
2024-01-31 19:00:00,20.8,37.4
2024-01-31 19:01:00,21.1,37.4
2024-01-31 19:02:00,20.9,37.6
2024-01-31 19:03:00,21.1,37.6
2024-01-31 19:04:00,20.6,37.7
2024-01-31 19:05:00,21.1,37.8
2024-01-31 19:06:00,21.0,38.0
2024-01-31 19:07:00,21.0,37.9
2024-01-31 19:08:00,20.9,38.2
2024-01-31 19:09:00,21.1,38.2
2024-01-31 19:10:00,21.1,38.3
2024-01-31 19:11:00,20.9,38.4
2024-01-31 19:12:00,21.0,38.4
2024-01-31 19:13:00,20.8,38.6
2024-01-31 19:14:00,20.9,38.6
2024-01-31 19:15:00,20.9,38.6
2024-01-31 19:16:00,20.8,38.8
2024-01-31 19:17:00,20.9,38.8
2024-01-31 19:18:00,20.8,38.8
2024-01-31 19:19:00,20.9,38.8
2024-01-31 19:20:00,20.9,38.9
2024-01-31 19:21:00,21.0,39.0
2024-01-31 19:22:00,20.9,39.1
2024-01-31 19:23:00,20.9,39.1
2024-01-31 19:24:00,21.0,39.4
2024-01-31 19:25:00,20.7,39.5
2024-01-31 19:26:00,20.8,39.2
2024-01-31 19:27:00,20.9,39.6
2024-01-31 19:28:00,21.1,39.6
2024-01-31 19:29:00,20.9,39.4
2024-01-31 19:30:00,20.9,39.6
2024-01-31 19:31:00,20.8,39.8
2024-01-31 19:32:00,20.7,39.7
2024-01-31 19:33:00,20.9,39.7
2024-01-31 19:34:00,20.9,39.7
2024-01-31 19:35:00,20.8,39.9
2024-01-31 19:36:00,20.8,39.9
2024-01-31 19:37:00,20.8,39.9
2024-01-31 19:38:00,20.9,40.1
2024-01-31 19:39:00,20.9,40.3
2024-01-31 19:40:00,20.7,40.1
2024-01-31 19:41:00,20.9,40.2
2024-01-31 19:42:00,20.8,40.3
2024-01-31 19:43:00,20.8,40.3
2024-01-31 19:44:00,20.8,40.4
2024-01-31 19:45:00,20.8,40.4
2024-01-31 19:46:00,20.8,40.6
2024-01-31 19:47:00,21.0,40.5
2024-01-31 19:48:00,20.8,40.6
2024-01-31 19:49:00,20.7,40.5
2024-01-31 19:50:00,20.8,40.9
2024-01-31 19:51:00,20.6,40.7
2024-01-31 19:52:00,20.7,40.9
2024-01-31 19:53:00,20.6,40.8
2024-01-31 19:54:00,20.8,40.8
2024-01-31 19:55:00,20.9,41.0
2024-01-31 19:56:00,20.7,41.1
2024-01-31 19:57:00,20.8,41.2
2024-01-31 19:58:00,20.8,41.2
2024-01-31 19:59:00,20.7,41.2
2024-01-31 20:00:00,20.7,41.2
2024-01-31 20:01:00,20.9,41.1
2024-01-31 20:02:00,20.7,41.2
2024-01-31 20:03:00,20.7,41.3
2024-01-31 20:04:00,20.5,41.3
2024-01-31 20:05:00,20.7,41.4
2024-01-31 20:06:00,20.8,41.3
2024-01-31 20:07:00,21.0,41.5
2024-01-31 20:08:00,20.7,41.6
2024-01-31 20:09:00,20.8,41.6
2024-01-31 20:10:00,20.8,41.6
2024-01-31 20:11:00,20.6,41.6
2024-01-31 20:12:00,20.7,41.8
2024-01-31 20:13:00,20.6,41.7
2024-01-31 20:14:00,20.5,41.9
2024-01-31 20:15:00,20.6,41.8
2024-01-31 20:16:00,20.8,41.8
2024-01-31 20:17:00,20.8,41.9
2024-01-31 20:18:00,20.9,41.9
2024-01-31 20:19:00,20.5,42.0
2024-01-31 20:20:00,20.7,42.1
2024-01-31 20:21:00,20.6,42.1
2024-01-31 20:22:00,20.6,42.1
2024-01-31 20:23:00,20.7,42.2
2024-01-31 20:24:00,20.8,42.1
2024-01-31 20:25:00,20.6,42.1
2024-01-31 20:26:00,20.9,42.4
2024-01-31 20:27:00,20.7,42.3
2024-01-31 20:28:00,20.5,42.3
2024-01-31 20:29:00,20.6,42.6
2024-01-31 20:30:00,20.7,42.4
2024-01-31 20:31:00,20.7,42.4
2024-01-31 20:32:00,20.5,42.6
2024-01-31 20:33:00,20.9,42.6
2024-01-31 20:34:00,20.7,42.7
2024-01-31 20:35:00,20.7,42.6
2024-01-31 20:36:00,20.4,42.7
2024-01-31 20:37:00,20.6,42.7
2024-01-31 20:38:00,20.8,42.6
2024-01-31 20:39:00,20.6,42.8
2024-01-31 20:40:00,20.6,42.8
2024-01-31 20:41:00,20.5,42.7
2024-01-31 20:42:00,20.8,42.9
2024-01-31 20:43:00,20.6,42.8
2024-01-31 20:44:00,20.5,42.9
2024-01-31 20:45:00,20.6,43.0
2024-01-31 20:46:00,20.7,43.0
2024-01-31 20:47:00,20.6,43.1
2024-01-31 20:48:00,20.5,42.9
2024-01-31 20:49:00,20.7,43.0
2024-01-31 20:50:00,20.6,43.3
2024-01-31 20:51:00,20.8,43.3
2024-01-31 20:52:00,20.6,43.1
2024-01-31 20:53:00,20.6,43.3
2024-01-31 20:54:00,20.4,43.3
2024-01-31 20:55:00,20.5,43.3
2024-01-31 20:56:00,20.8,43.4
2024-01-31 20:57:00,20.4,43.4
2024-01-31 20:58:00,20.6,43.4
2024-01-31 20:59:00,20.6,43.4
2024-01-31 21:00:00,20.6,43.5
2024-01-31 21:01:00,20.5,43.4
2024-01-31 21:02:00,20.7,43.5
2024-01-31 21:03:00,20.5,43.6
2024-01-31 21:04:00,20.6,43.5
2024-01-31 21:05:00,20.4,43.6
2024-01-31 21:06:00,20.6,43.6
2024-01-31 21:07:00,20.4,43.6
2024-01-31 21:08:00,20.4,43.5
2024-01-31 21:09:00,20.6,43.6
2024-01-31 21:10:00,20.6,43.6
2024-01-31 21:11:00,20.7,43.7
2024-01-31 21:12:00,20.5,43.8
